Event,DeathEstimate,Location,From,Until,Duration,ConflictCode,ContinentCode,Middle,URL,,
Second Congo War,3674235,Democratic Republic of the Congo,1998,2003,6,1,1,2001,https://en.wikipedia.org/wiki/Second_Congo_War,Second Congo War,0
Second Italo-Ethiopian War,278350,Ethiopia,1935,1936,1,1,1,1936,https://en.wikipedia.org/wiki/Second_Italo-Ethiopian_War,Second Italo-Ethiopian War,0
Second Sino-Japanese War,22360680,China,1937,1945,8,1,2,1941,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War,Second Sino-Japanese War,0
Second Sudanese Civil War,1414214,Sudan,1983,2005,23,1,1,1995,https://en.wikipedia.org/wiki/Second_Sudanese_Civil_War,Second Sudanese Civil War,0
Seven Years' War,1102361,Worldwide,1756,1763,7,2,7,1760,https://en.wikipedia.org/wiki/Seven_Years%27_War,Seven Years' War,0
Sierra Leone Civil War,122474,Sierra Leone,1991,2002,11,2,1,1997,https://en.wikipedia.org/wiki/Sierra_Leone_Civil_War,Sierra Leone Civil War,0
Somali Civil War,387298,Somalia,1986,2020,32,2,1,2002,https://en.wikipedia.org/wiki/Somali_Civil_War,Somali Civil War,0
Soviet–Afghan War,1095445,Afghanistan,1980,1988,9,1,2,1985,https://en.wikipedia.org/wiki/Soviet%E2%80%93Afghan_War,Soviet–Afghan War,0
Spanish American wars of independence,600000,Americas,1808,1833,25,1,3,1821,https://en.wikipedia.org/wiki/Spanish_American_wars_of_independence,Spanish American wars of independence,0
Spanish Civil War,707107,Spain,1936,1939,4,2,3,1938,https://en.wikipedia.org/wiki/Spanish_Civil_War,Spanish Civil War,0
Sri Lankan Civil War,89443,Sri Lanka,1983,2009,26,2,2,1996,https://en.wikipedia.org/wiki/Sri_Lankan_Civil_War,Sri Lankan Civil War,0
Syrian Civil War,535000,Syria,2011,2020,8,2,2,2015,https://en.wikipedia.org/wiki/Syrian_Civil_War,Syrian Civil War,0
Taiping Rebellion,31622777,China,1851,1864,14,2,2,1858,https://en.wikipedia.org/wiki/Taiping_Rebellion,Taiping Rebellion,0
Ten Years' War,241000,Cuba,1868,1878,10,1,4,1873,https://en.wikipedia.org/wiki/Ten_Years%27_War,Ten Years' War,0
Thirty Years' War,5873670,"Holy Roman Empire,Europe",1618,1648,30,1,3,1633,https://en.wikipedia.org/wiki/Thirty_Years%27_War,Thirty Years' War,0
Thousand Days War,120000,Colombia,1899,1902,3,3,2,1901,https://en.wikipedia.org/wiki/Thousand_Days%27_War,Thousand Days War,0
Three Kingdoms,37947332,China,184,280,96,1,2,232,https://en.wikipedia.org/wiki/Three_Kingdoms,Three Kingdoms,0
Transition from Ming to Qing,25000000,China,1618,1683,65,2,2,1651,https://en.wikipedia.org/wiki/Transition_from_Ming_to_Qing,Transition from Ming to Qing,0
Ugandan Bush War,223607,Uganda,1981,1986,5,3,1,1984,https://en.wikipedia.org/wiki/Ugandan_Bush_War,Ugandan Bush War,0
Venezuelan War of Independence,228000,Venezuela,1810,1823,13,1,6,1817,https://en.wikipedia.org/wiki/Venezuelan_War_of_Independence,Venezuelan War of Independence,0
Vietnam War,2383000,Southeast Asia,1955,1975,21,1,2,1966,https://en.wikipedia.org/wiki/Vietnam_War,Vietnam War,0
War in Darfur,286827,Sudan,2003,2020,15,3,1,2011,https://en.wikipedia.org/wiki/War_in_Darfur,War in Darfur,0
War of the Spanish Succession,707389,"Europe,North America,South America",1702,1714,12,3,3,1708,https://en.wikipedia.org/wiki/War_of_the_Spanish_Succession,War of the Spanish Succession,0
War on Terror,493500,Worldwide,2001,2020,18,1,7,2010,https://en.wikipedia.org/wiki/War_on_Terror,War on Terror,0
Wars of the Three Kingdoms,876000,British Isles,1639,1651,12,1,3,1645,https://en.wikipedia.org/wiki/Wars_of_the_Three_Kingdoms,Wars of the Three Kingdoms,0
Winter War,173071,Finland,1939,1940,1,1,3,1940,https://en.wikipedia.org/wiki/Winter_War,Winter War,0
World War I,23568559,Worldwide,1914,1918,4.25,1,7,1916,https://en.wikipedia.org/wiki/World_War_I,World War I,0
World War II,84269920,Worldwide,1939,1945,6,1,7,1942,https://en.wikipedia.org/wiki/World_War_II,World War II,0
Yellow Turban Rebellion,4582576,China,184,205,22,2,2,195,https://en.wikipedia.org/wiki/Yellow_Turban_Rebellion,Yellow Turban Rebellion,0
Yugoslav Wars,134907,Balkans,1991,2001,10,1,3,1996,https://en.wikipedia.org/wiki/Yugoslav_Wars,Yugoslav Wars,0
